시간,코인,매수가,매도가,수량,손익,비고
2024-07-05 09:33:30,USDT,1431,1433,40,28,업빗매도-빗썸매수
2024-07-05 15:55:28,USDT,1433,1436,18.9,32,업빗매도-빗썸매수
2024-07-05 15:55:29,USDT,1433,1436,18.9,32,업빗매도-빗썸매수
2024-07-05 17:11:22,USDT,1431,1433,9,7,업빗매도-빗썸매수
2024-07-06 17:56:13,USDT,22.41,22.45,450,8,업빗매도-빗썸매수
2024-07-06 18:00:31,USDT,22.29,22.35,450,17,업빗매도-빗썸매수
2024-07-07 16:12:18,BCH,470700.0,471350,0.02,4,업빗매도-빗썸매수
2024-07-07 16:24:12,BCH,469300.0,469950,0.02,4,업빗매도-빗썸매수
2024-07-07 16:30:29,BCH,466100.0,466850,0.02,6,업빗매도-빗썸매수
2024-07-07 16:47:35,BCH,465300.0,466250,0.02,10,업빗매도-빗썸매수
2024-07-07 17:14:05,BCH,469400.0,470050,0.02,4,업빗매도-빗썸매수
2024-07-10 23:19:17,TAIKO,3363.0,3401,2.0,70,업빗매도-빗썸매수
